Lat,Lon,tempC,humidity,DewPointC,precipMM,windspeedKmph,WindGustKmph,Class
4.1828,101.2408,25.7,92,24.2,0,1.6,12.2,0
4.1828,101.2408,26.9,90,25.2,0,6.5,14.4,0
4.1828,101.2408,27.7,87,25.4,0.1,6.4,17.6,0
4.1828,101.2408,28.7,82,25.4,0.3,7.2,23,0
4.1828,101.2408,28.6,85,25.7,0.3,3.3,20.9,0
4.1828,101.2408,28.9,82,25.6,0.6,2.8,16.9,0
4.1828,101.2408,26.5,90,24.7,5.1,3.6,18,0
4.1828,101.2408,26.4,90,24.6,0.6,1.3,14,0
4.1828,101.2408,26.3,91,24.6,0.3,2.3,10.8,0
4.1828,101.2408,26,92,24.5,0.5,4,14.8,0
4.1828,101.2408,25,98,24.7,2.7,3.8,14,0
4.1828,101.2408,24.8,99,24.5,2.1,5.1,11.5,0
4.1828,101.2408,25.1,96,24.4,0.1,4.1,10.4,0
4.1828,101.2408,24.4,98,24.1,4.6,5.2,11.2,0
4.1828,101.2408,24.4,98,24.1,0.3,3.4,10.4,0
4.1828,101.2408,24.3,98,24,0.5,3.7,6.8,0
4.1828,101.2408,24.5,96,23.8,0.4,1.4,5.8,0
4.1828,101.2408,24.6,94,23.5,0.1,4.3,5,0
4.1828,101.2408,23.8,99,23.6,0,5.6,7.6,0
4.1828,101.2408,24,97,23.5,0,2.6,6.8,0
4.1828,101.2408,24.6,93,23.4,0,3.8,4.3,0
4.1828,101.2408,23.8,99,23.6,0,4.9,6.5,0
4.1828,101.2408,23.7,99,23.6,0.1,2.1,6.1,0
4.1828,101.2408,24,96,23.3,0.1,1.3,4.3,0
4.1828,101.2408,25,94,23.9,0,3.3,6.8,0
4.1828,101.2408,26.2,93,25,0,4.7,13.7,0
4.1828,101.2408,27.6,87,25.2,0,2.9,13.7,0
4.1828,101.2408,28.2,86,25.7,0,5.1,15.8,0
4.1828,101.2408,28.5,85,25.7,0,4.8,18,0
4.1828,101.2408,29,83,25.9,0,1.3,16.6,0
4.3234,101.3328,22.2,97,21.7,0,7.8,20.5,0
4.3234,101.3328,25.1,91,23.5,0,5.6,25.2,0
4.3234,101.3328,26.7,82,23.4,0,3.7,21.2,0
4.3234,101.3328,28.1,72,22.6,0,5,20.9,0
4.3234,101.3328,28.1,71,22.4,0,4,21.2,0
4.3234,101.3328,27.1,79,23.2,0.1,4.4,22.7,0
4.3234,101.3328,26.1,86,23.6,3.4,5,21.6,0
4.3234,101.3328,25.6,86,23.1,5.3,5.6,23.8,0
4.3234,101.3328,25.1,87,22.8,0.9,3.1,23.8,0
4.3234,101.3328,24.6,95,23.7,0.8,2.1,15.5,0
4.3234,101.3328,24.5,95,23.6,0.1,0.8,10.1,0
4.3234,101.3328,23.8,100,23.8,0,1.1,8.6,0
4.3234,101.3328,23.4,97,22.9,0.1,1.1,14.8,0
4.3234,101.3328,22.7,99,22.6,0,2.3,7.2,0
4.3234,101.3328,22.5,100,22.5,0.1,2.4,7.9,0
4.3234,101.3328,22.3,99,22.1,0.1,4.3,16.2,0
4.3234,101.3328,22.8,93,21.6,0,6.4,20.5,0
4.3234,101.3328,22.7,94,21.7,0,7.4,22.3,0
4.3234,101.3328,22.5,95,21.6,0,8.2,25.9,0
4.3234,101.3328,22.6,94,21.5,0.1,6.6,25.2,0
4.3234,101.3328,22.4,94,21.4,0,6.8,19.8,0
4.3234,101.3328,22.3,94,21.2,0,9.2,28.8,0
4.3234,101.3328,22.3,93,21.1,0,9.8,32.8,0
4.3234,101.3328,22.2,92,20.9,0,9.7,32.4,0
4.3234,101.3328,21.9,94,20.8,0,10.5,32.4,0
4.3234,101.3328,22.7,92,21.3,0.4,8,32.8,0
4.3234,101.3328,24.2,90,22.5,0.1,5.2,29.2,0
4.3234,101.3328,24.9,92,23.6,0,3.3,22.3,0
4.3234,101.3328,26,80,22.3,0,5.8,23.8,0
4.3234,101.3328,26.7,72,21.3,0,6.5,27.4,0
4.3234,101.2592,21.4,87,19.1,0,3.4,11.9,0
4.3234,101.2592,25.5,72,20.1,0,1.1,12.2,0
4.3234,101.2592,26.3,72,20.8,0,4.6,16.6,0
4.3234,101.2592,26.8,75,22.1,0,6.2,23.4,0
4.3234,101.2592,26.8,74,21.8,0.1,5.4,24.1,0
4.3234,101.2592,27.2,72,21.7,0.1,3.1,21.2,0
4.3234,101.2592,27.2,71,21.6,0,6.4,22,0
4.3234,101.2592,26.4,76,21.8,0.3,0.7,23.4,0
4.3234,101.2592,26.6,75,21.9,0.1,4.3,16.9,0
4.3234,101.2592,25.7,80,22.1,0.6,2.8,16.2,0
4.3234,101.2592,24.7,90,23,0.2,2.3,11.9,0
4.3234,101.2592,24.3,95,23.4,0.1,3.4,8.6,0
