,X1,X2,X3,X4,X5,X6,X7,X8
0,4.1828,101.1673,24.5,97.0,24.0,0.4,2.3,9.4
1,-7.720946,114.005269,25.0,79.5,22.0,0.25,5.5,9.5
2,4.1828,101.0939,28.1,83.0,25.0,0.2,2.4,17.6
3,-7.81379,114.30051,27.5,72.5,20.0,0.0,11.5,19.0
4,-7.69424,111.98638,25.0,63.5,17.0,0.0,14.0,22.0
5,-8.3347222,115.0877778,25.5,77.0,20.5,0.0,8.0,14.5
6,-2.289315,115.584075999999,26.0,73.0,21.0,0.0,12.5,23.5
7,-7.726927,114.001556,26.0,76.5,21.5,0.1,8.0,13.0
8,-0.469818,100.582793,25.5,64.5,18.0,0.0,2.5,9.5
9,-2.86473,113.9268,27.5,67.5,22.0,0.0,7.5,13.5
10,-6.70287,106.30595,27.5,79.5,23.5,0.05,4.5,9.5
11,-2.797732,116.02926,26.0,73.0,21.0,0.0,12.5,23.5
12,4.464,115.5037,24.2,75.0,19.5,0.0,5.7,24.5
13,-1.75435,116.96372,28.5,78.0,25.0,0.3,9.0,19.0
14,4.82553,95.93607,27.0,83.0,23.5,0.05,7.0,14.5
15,-6.117543,106.160589999999,28.0,73.5,23.0,0.0,5.0,9.0
16,5.5185,116.4925,21.1,82.0,18.0,0.1,3.4,14.0
17,-3.11421,104.94147,28.0,76.5,23.0,0.25,5.5,12.0
18,4.464,115.43,22.8,94.0,21.7,0.4,1.9,9.0
19,-7.30936,111.97811,28.0,68.0,20.5,0.0,9.5,16.0
20,5.4482,116.4706,17.8,100.0,17.7,0.0,3.9,12.6
21,-2.43915,115.66961,26.0,81.5,22.5,0.0,9.0,15.5
22,-7.798868,114.3579131,26.0,69.0,21.0,0.1,8.0,16.5
23,0.71889,101.78152,29.5,63.5,22.0,0.1,4.0,8.5
24,-7.71885,112.9109,30.0,69.0,21.0,0.0,7.5,15.0
25,4.464,115.5037,21.7,87.0,19.5,0.4,4.3,24.5
26,-7.380542,108.56608,23.5,74.0,18.0,0.0,5.0,12.5
27,-6.88044,107.3965,30.5,47.5,18.0,0.0,6.5,17.0
28,-7.98174,111.44161,25.5,63.0,18.0,0.0,8.0,15.0
29,-7.287792,110.456609,24.0,68.0,16.0,0.0,10.0,19.5
30,4.1828,101.0939,31.2,70.0,25.0,0.1,1.9,20.2
31,-7.93625,112.57971,28.5,48.0,15.5,0.0,8.0,20.0
32,1.58971,104.70694,27.0,73.5,22.0,0.0,21.0,30.0
33,-8.36733,115.82338,28.0,75.0,21.0,0.0,9.0,16.0
34,4.61311,98.94168,27.5,74.5,22.5,0.25,9.0,11.5
35,1.738858,98.788431,26.5,77.0,22.0,0.0,5.5,12.0
36,-7.86871,107.82532,25.5,74.5,20.5,0.0,21.5,30.5
37,-7.83627,112.80561,23.5,69.0,16.5,0.0,3.0,12.0
38,-0.37377,103.69894,26.0,75.0,21.0,0.1,5.5,11.0
39,5.4482,116.4706,22.0,81.0,18.6,0.1,6.3,31.3
40,-1.75195,101.99716,24.5,84.0,22.0,1.1,9.5,14.0
41,-3.870827,103.440369,27.0,63.5,18.5,0.0,7.0,16.0
42,-7.355957,109.639572,26.5,71.5,20.5,0.0,6.0,9.5
43,-3.2271111,119.950925999999,26.0,78.5,21.5,0.0,7.0,12.5
44,4.1990947,96.1208925999999,27.0,76.0,22.5,0.0,5.0,9.5
45,1.5817,100.1981,26.5,78.0,22.5,0.0,5.7,17.3
46,5.5888,116.5145,17.0,93.0,15.9,0.3,3.4,23.8
47,4.96559,95.93792,28.0,76.5,23.5,0.0,6.0,11.0
48,-3.81643,114.90545,27.5,77.5,23.0,0.0,6.0,13.5
49,1.738858,98.788431,27.0,78.0,22.5,0.0,5.0,11.0
50,5.5185,116.4925,23.9,73.0,18.8,0.7,7.3,29.9
51,3.5501,97.5122,16.1,84.0,13.5,0.5,4.7,26.6
52,4.464,115.43,25.1,78.0,20.9,0.0,2.8,14.8
53,-7.61984,111.96784,26.0,55.5,16.0,0.0,11.5,20.0
54,4.3234,101.3328,23.5,99.0,23.4,0.3,2.9,11.5
55,-8.04608309999999,111.7167504,27.0,68.5,19.0,0.0,15.0,25.0
56,4.464,115.43,20.8,93.0,19.7,0.0,4.3,13.0
57,4.3234,101.3328,25.5,92.0,24.2,2.7,3.6,19.8
58,4.464,115.43,23.4,96.0,22.7,0.1,2.4,12.6
59,5.4482,116.4706,18.2,100.0,18.2,0.0,4.0,13.0
60,-7.7342,109.95186,27.0,75.5,22.5,0.0,12.0,17.0
61,-7.74973879999999,114.2568814,24.5,82.0,21.5,0.0,10.5,19.5
62,4.66679,96.36222,28.5,72.5,22.5,0.799999999999999,5.5,11.0
63,-3.74824,114.91288,27.0,81.5,23.0,0.0,6.0,15.5
64,2.85992,100.6531,28.0,80.5,24.5,0.25,11.0,19.0
65,-7.79683,111.98097,27.0,58.0,16.0,0.0,12.5,24.0
66,-3.8473,114.98271,28.0,79.0,23.5,0.05,4.0,10.5
67,-2.91924,113.9244,27.5,68.5,21.5,0.0,8.0,16.5
68,-3.717045,102.906648,28.0,72.5,23.5,0.25,3.5,8.0
69,-3.49811,104.83516,28.0,76.0,22.5,0.0,6.0,14.0
70,3.56795,97.80979,28.0,72.5,22.5,0.0,5.5,12.0
71,5.5888,116.5145,21.2,69.0,15.4,0.3,9.8,39.2
72,5.5888,116.5145,17.3,94.0,16.2,0.0,2.4,19.8
73,-3.01022696,103.84411621,27.0,70.0,22.5,0.05,6.0,12.5
74,5.4482,116.4706,20.2,93.0,19.0,0.0,5.6,20.2
75,0.350659,110.444283,24.0,91.0,22.5,0.05,5.0,17.0
76,-7.097924,110.8942,27.0,76.5,22.0,0.0,5.5,8.0
77,4.1828,101.0939,26.3,95.0,25.4,0.3,2.4,5.4
78,4.50726,96.23873,28.5,72.5,23.0,0.6,6.0,12.5
79,5.167,116.2345,25.6,83.0,22.4,0.1,4.8,19.1
80,4.90792,97.99026,29.5,69.0,23.0,0.0,6.0,11.5
81,5.3076,116.4268,21.8,99.0,21.6,0.1,9.3,19.8
82,4.85756,95.99462,27.5,74.0,23.0,0.0,6.0,11.0
83,0.2652448,102.220463,28.0,74.0,23.0,0.15,4.0,9.5
84,1.86011,117.80375,28.5,78.5,24.0,0.0,11.5,19.0
85,5.167,116.2345,21.6,99.0,21.5,0.0,3.8,7.6
86,-7.98751,111.54225,25.5,72.5,19.5,0.0,13.0,21.0
87,-3.8673,114.98735,27.0,77.5,22.0,0.0,5.5,12.5
88,-7.88809,112.86972,27.0,60.0,17.5,0.0,1.5,11.5
89,-7.70314,112.92258,24.5,67.0,18.0,0.0,7.5,14.5
90,5.3076,116.4268,23.9,87.0,21.6,0.0,9.0,22.3
91,2.98095,116.99845,28.5,77.0,24.0,1.6,8.5,23.0
92,-3.9799,114.98466,26.5,82.5,23.0,0.15,5.0,16.0
